IDIV - Carteira do Dia 01/10/21
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABCB4;ABC BRASIL;PN      N2;109.742.538;0,416;
BRSR6;BANRISUL;PNB     N1;321.734.820;0,954;
BBSE3;BBSEGURIDADE;ON      NM;1.066.974.264;5,415;
BBDC3;BRADESCO;ON      N1;663.965.977;3,017;
BBDC4;BRADESCO;PN      N1;548.618.772;2,907;
BRAP4;BRADESPAR;PN      N1;193.211.758;2,569;
BBAS3;BRASIL;ON      NM;449.284.034;3,303;
AGRO3;BRASILAGRO;ON      NM;82.246.054;0,637;
CCRO3;CCR SA;ON      NM;1.271.991.841;3,786;
CMIG3;CEMIG;ON      N1;440.872.085;1,916;
CMIG4;CEMIG;PN      N1;918.244.037;3,278;
CESP6;CESP;PNB     N1;289.159.624;1,737;
CSMG3;COPASA;ON  EDJ NM;299.369.573;1,051;
CPLE3;COPEL;ON  EDJ N1;508.004.506;0,798;
CPLE6;COPEL;PNB EDJ N1;1.772.962.657;3,044;
CPFE3;CPFL ENERGIA;ON      NM;298.238.432;2,043;
CYRE3;CYRELA REALT;ON      NM;447.374.291;2,049;
DIRR3;DIRECIONAL;ON      NM;119.757.725;0,348;
ELET3;ELETROBRAS;ON      N1;334.865.464;3,281;
ELET6;ELETROBRAS;PNB     N1;360.259.119;3,549;
ENAT3;ENAUTA PART;ON      NM;121.744.925;0,427;
ENBR3;ENERGIAS BR;ON      NM;367.752.216;1,718;
EGIE3;ENGIE BRASIL;ON      NM;404.895.805;3,859;
FESA4;FERBASA;PN      N1;63.808.944;0,910;
ROMI3;INDS ROMI;ON      NM;59.212.642;0,287;
ITSA4;ITAUSA;PN      N1;1.163.678.412;3,298;
ITUB3;ITAUUNIBANCO;ON  ED  N1;445.468.169;3,058;
ITUB4;ITAUUNIBANCO;PN  ED  N1;377.598.432;2,778;
JHSF3;JHSF PART;ON      NM;485.987.423;0,732;
LEVE3;METAL LEVE;ON      NM;61.150.551;0,587;
MRVE3;MRV;ON      NM;468.081.503;1,463;
PETR4;PETROBRAS;PN      N2;488.745.336;3,386;
BRDT3;PETROBRAS BR;ON      NM;989.908.792;5,916;
PSSA3;PORTO SEGURO;ON      NM;144.457.418;1,817;
QUAL3;QUALICORP;ON      NM;450.648.076;2,292;
SAPR4;SANEPAR;PN      N2;322.752.221;0,316;
SANB11;SANTANDER BR;UNT;409.942.616;3,689;
CSNA3;SID NACIONAL;ON;368.632.969;2,694;
SYNE3;SYN PROP TEC;ON      NM;94.778.145;0,248;
TAEE11;TAESA;UNT     N2;347.225.090;3,166;
TGMA3;TEGMA;ON      NM;50.838.663;0,213;
VIVT3;TELEF BRASIL;ON  EJ;495.256.524;5,363;
TRPL4;TRAN PAULIST;PN      N1;628.776.936;3,890;
UNIP6;UNIPAR;PNB;71.268.820;1,434;
WIZS3;WIZ S.A.;ON      NM;123.183.894;0,361;
Quantidade Teórica Total;;;19.502.672.093;100,000
Redutor;;;60.768.235,58992957
