IDIV - Carteira do Dia 02/08/21
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABCB4;ABC BRASIL;PN      N2;143.406.221;0,663;
BRSR6;BANRISUL;PNB     N1;411.506.222;1,575;
BBSE3;BBSEGURIDADE;ON      NM;666.221.628;4,414;
BRAP4;BRADESPAR;PN      N1;139.111.884;3,190;
BBAS3;BRASIL;ON      NM;265.544.030;2,604;
AGRO3;BRASILAGRO;ON      NM;105.190.073;0,942;
CCRO3;CCR SA;ON      NM;579.476.887;2,336;
CMIG3;CEMIG;ON      N1;541.380.066;2,468;
CMIG4;CEMIG;PN      N1;744.527.240;2,756;
CESP6;CESP;PNB     N1;369.825.912;2,674;
CSMG3;COPASA;ON      NM;382.884.110;1,645;
CPLE3;COPEL;ON      N1;145.559.402;0,259;
CPLE6;COPEL;PNB     N1;1.159.817.951;2,201;
CYRE3;CYRELA REALT;ON      NM;571.252.560;3,693;
DIRR3;DIRECIONAL;ON      NM;165.309.055;0,652;
ENBR3;ENERGIAS BR;ON      NM;470.343.323;2,498;
EGIE3;ENGIE BRASIL;ON      NM;174.847.379;2,056;
FESA4;FERBASA;PN      N1;81.567.743;1,308;
GRND3;GRENDENE;ON      NM;545.280.061;1,865;
ROMI3;INDS ROMI;ON      NM;75.731.076;0,543;
ITSA4;ITAUSA;PN      N1;1.210.949.386;4,194;
ITUB3;ITAUUNIBANCO;ON  ED  N1;496.338.315;4,225;
ITUB4;ITAUUNIBANCO;PN  ED  N1;388.888.030;3,652;
JHSF3;JHSF PART;ON      NM;586.853.844;1,358;
LEVE3;METAL LEVE;ON      NM;78.209.601;0,774;
MRVE3;MRV;ON      NM;591.809.917;2,631;
BRDT3;PETROBRAS BR;ON      NM;903.149.549;7,934;
PSSA3;PORTO SEGURO;ON  EJ  NM;190.253.023;3,047;
QUAL3;QUALICORP;ON      NM;257.788.132;2,058;
SAPR4;SANEPAR;PN      N2;413.481.715;0,508;
SANB11;SANTANDER BR;UNT;183.742.990;2,310;
CSNA3;SID NACIONAL;ON  ED;257.096.472;3,626;
SLCE3;SLC AGRICOLA;ON      NM;174.911.091;2,441;
TAEE11;TAESA;UNT     N2;444.089.867;5,232;
TGMA3;TEGMA;ON      NM;65.021.024;0,435;
VIVT3;TELEF BRASIL;ON;427.927.171;5,468;
TRPL4;TRAN PAULIST;PN      N1;804.185.592;6,017;
TRIS3;TRISUL;ON      NM;159.789.790;0,432;
UNIP6;UNIPAR;PNB;90.075.556;2,556;
WIZS3;WIZ S.A.;ON      NM;157.912.100;0,760;
Quantidade Teórica Total;;;15.621.255.988;100,000
Redutor;;;47.383.342,89863184
