IDIV - Carteira do Dia 29/03/21
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABCB4;ABC BRASIL;PN      N2;148.849.339;0,629;
AESB3;AES BRASIL;ON      NM;609.306.126;3,068;
BRSR6;BANRISUL;PNB     N1;408.792.895;1,446;
BBSE3;BBSEGURIDADE;ON      NM;670.546.751;4,638;
BRAP4;BRADESPAR;PN      N1;133.376.467;2,517;
BBAS3;BRASIL;ON      NM;222.468.975;1,905;
CCRO3;CCR SA;ON      NM;914.698.861;3,168;
CMIG4;CEMIG;PN      N1;811.836.550;2,913;
CIEL3;CIELO;ON      NM;2.244.875.458;2,340;
CSMG3;COPASA;ON  EJ  NM;380.359.507;1,622;
CPLE3;COPEL;ON      N1;1.211.099.680;2,346;
CPLE6;COPEL;PNB     N1;1.314.289.250;2,648;
CYRE3;CYRELA REALT;ON      NM;567.485.922;3,879;
DIRR3;DIRECIONAL;ON      NM;164.219.066;0,588;
ENBR3;ENERGIAS BR;ON      NM;445.609.063;2,497;
EGIE3;ENGIE BRASIL;ON      NM;202.749.347;2,413;
ROMI3;INDS ROMI;ON  EJ  NM;75.231.732;0,548;
MYPK3;IOCHP-MAXION;ON      NM;285.536.477;0,976;
ITSA4;ITAUSA;PN  EJ  N1;1.418.172.915;4,242;
ITUB3;ITAUUNIBANCO;ON  EJ  N1;594.677.210;4,326;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;460.661.771;3,733;
KLBN11;KLABIN S/A;UNT     N2;467.630.982;3,861;
LEVE3;METAL LEVE;ON      NM;77.693.915;0,471;
MRVE3;MRV;ON      NM;603.095.509;3,054;
BRDT3;PETROBRAS BR;ON      NM;639.106.065;4,074;
PSSA3;PORTO SEGURO;ON      NM;188.998.561;2,567;
QUAL3;QUALICORP;ON      NM;246.490.959;2,214;
SAPR4;SANEPAR;PN      N2;410.755.362;0,518;
SAPR11;SANEPAR;UNT     N2;405.683.916;2,588;
SANB11;SANTANDER BR;UNT;255.318.544;3,018;
CSNA3;SID NACIONAL;ON;532.321.948;5,400;
SLCE3;SLC AGRICOLA;ON      NM;173.757.789;2,130;
SMLS3;SMILES;ON      NM;118.782.173;0,850;
TAEE11;TAESA;UNT     N2;441.161.695;4,598;
TGMA3;TEGMA;ON      NM;64.592.298;0,338;
VIVT3;TELEF BRASIL;ON;443.445.822;5,804;
TRPL4;TRAN PAULIST;PN      N1;551.155.653;4,072;
UNIP6;UNIPAR;PNB;88.806.060;1,699;
WIZS3;WIZ S.A.;ON      NM;156.333.924;0,302;
Quantidade Teórica Total;;;19.149.974.537;100,000
Redutor;;;53.757.95491698501
