IDIV - Carteira do Dia 03/01/22
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABCB4;ABC BRASIL;PN  EJ  N2;130.777.854;0,622;
BRSR6;BANRISUL;PNB     N1;385.955.943;1,132;
BBSE3;BBSEGURIDADE;ON      NM;559.039.972;3,525;
BBDC3;BRADESCO;ON  EDJ N1;738.772.585;3,634;
BBDC4;BRADESCO;PN  EDJ N1;625.552.771;3,651;
BRAP4;BRADESPAR;PN      N1;479.100.480;3,638;
BBAS3;BRASIL;ON      NM;355.849.250;3,120;
AGRO3;BRASILAGRO;ON      NM;98.656.763;0,863;
CCRO3;CCR SA;ON      NM;755.579.870;2,661;
CMIG3;CEMIG;ON  EJ  N1;528.840.117;2,976;
CMIG4;CEMIG;PN  EJ  N1;862.995.685;3,438;
CESP6;CESP;PNB     N1;346.856.185;2,267;
CSMG3;COPASA;ON      NM;359.103.344;1,387;
CPLE3;COPEL;ON  EJ  N2;609.367.595;1,118;
CPLE6;COPEL;PNB EJ  N2;1.462.018.075;2,820;
CPFE3;CPFL ENERGIA;ON      NM;357.746.504;2,917;
CYRE3;CYRELA REALT;ON      NM;536.639.720;2,573;
DIRR3;DIRECIONAL;ON      NM;143.653.208;0,555;
ELET3;ELETROBRAS;ON      N1;288.334.163;2,927;
ELET6;ELETROBRAS;PNB     N1;315.689.866;3,167;
ENAT3;ENAUTA PART;ON      NM;146.036.917;0,591;
ENBR3;ENERGIAS BR;ON      NM;440.067.043;2,800;
EGIE3;ENGIE BRASIL;ON  EJ  NM;226.605.041;2,645;
ROMI3;INDS ROMI;ON  EJ  NM;71.027.452;0,397;
MYPK3;IOCHP-MAXION;ON  EJ  NM;262.138.971;1,223;
ITSA4;ITAUSA;PN  EB  N1;1.264.742.358;3,432;
ITUB3;ITAUUNIBANCO;ON  EJ  N1;508.671.871;2,948;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;416.333.875;2,648;
JHSF3;JHSF PART;ON      NM;582.957.402;0,988;
MRVE3;MRV;ON      NM;561.478.680;2,047;
PSSA3;PORTO SEGURO;ON      NM;346.563.705;2,203;
QUAL3;QUALICORP;ON      NM;527.907.785;2,711;
SAPR4;SANEPAR;PN  EJ  N2;387.151.575;0,443;
SANB11;SANTANDER BR;UNT;476.042.077;4,337;
CSNA3;SID NACIONAL;ON;383.165.012;2,910;
TAEE11;TAESA;UNT     N2;416.507.562;4,603;
TGMA3;TEGMA;ON      NM;60.982.596;0,290;
VIVT3;TELEF BRASIL;ON  EDJ;424.082.332;6,210;
TRPL4;TRAN PAULIST;PN  EJ  N1;615.235.869;4,545;
UNIP6;UNIPAR;PNB ED;85.477.842;2,681;
WIZS3;WIZ S.A.;ON      NM;147.763.007;0,357;
Quantidade Teórica Total;;;18.291.468.922;100,000
Redutor;;;51.822.797,46795730
