IDIV - Carteira do Dia 01/06/21
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABCB4;ABC BRASIL;PN      N2;143.406.221;0,728;
BRSR6;BANRISUL;PNB     N1;411.506.222;1,651;
BBSE3;BBSEGURIDADE;ON      NM;666.221.628;4,588;
BRAP4;BRADESPAR;PN      N1;139.111.884;2,915;
BBAS3;BRASIL;ON  EDJ NM;265.544.030;2,617;
AGRO3;BRASILAGRO;ON      NM;105.190.073;1,005;
CCRO3;CCR SA;ON      NM;579.476.887;2,350;
CMIG3;CEMIG;ON      N1;541.380.066;2,602;
CMIG4;CEMIG;PN      N1;744.527.240;2,976;
CESP6;CESP;PNB     N1;369.825.912;2,631;
CSMG3;COPASA;ON      NM;382.884.110;1,978;
CPLE3;COPEL;ON      N1;145.559.402;0,248;
CPLE6;COPEL;PNB     N1;1.159.817.951;2,178;
CYRE3;CYRELA REALT;ON      NM;571.252.560;4,018;
DIRR3;DIRECIONAL;ON      NM;165.309.055;0,664;
ENBR3;ENERGIAS BR;ON      NM;470.343.323;2,581;
EGIE3;ENGIE BRASIL;ON      NM;174.847.379;2,048;
FESA4;FERBASA;PN      N1;81.567.743;0,951;
GRND3;GRENDENE;ON      NM;545.280.061;1,629;
ROMI3;INDS ROMI;ON      NM;75.731.076;0,616;
ITSA4;ITAUSA;PN  EDJ N1;1.210.949.386;3,863;
ITUB3;ITAUUNIBANCO;ON  EDJ N1;496.338.315;3,879;
ITUB4;ITAUUNIBANCO;PN  EDJ N1;388.888.030;3,379;
JHSF3;JHSF PART;ON      NM;586.853.844;1,316;
LEVE3;METAL LEVE;ON      NM;78.209.601;0,635;
MRVE3;MRV;ON      NM;591.809.917;3,029;
BRDT3;PETROBRAS BR;ON      NM;903.149.549;6,858;
PSSA3;PORTO SEGURO;ON      NM;190.253.023;2,976;
QUAL3;QUALICORP;ON      NM;257.788.132;2,217;
SAPR4;SANEPAR;PN      N2;413.481.715;0,494;
SANB11;SANTANDER BR;UNT;183.742.990;2,229;
CSNA3;SID NACIONAL;ON;257.096.472;3,399;
SLCE3;SLC AGRICOLA;ON      NM;174.911.091;2,728;
SMLS3;SMILES;ON      NM;119.570.579;0,794;
TAEE11;TAESA;UNT     N2;444.089.867;5,057;
TGMA3;TEGMA;ON      NM;65.021.024;0,450;
VIVT3;TELEF BRASIL;ON;427.927.171;5,567;
TRPL4;TRAN PAULIST;PN      N1;804.185.592;6,328;
TRIS3;TRISUL;ON      NM;159.789.790;0,489;
UNIP6;UNIPAR;PNB;90.075.556;2,741;
WIZS3;WIZ S.A.;ON      NM;157.912.100;0,598;
Quantidade Teórica Total;;;15.740.826.567;100,000
Redutor;;;48.000.955,18930360
