IDIV - Carteira do Dia 04/05/21
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABCB4;ABC BRASIL;PN      N2;143.406.221;0,659;
BRSR6;BANRISUL;PNB ED  N1;411.506.222;1,544;
BBSE3;BBSEGURIDADE;ON      NM;666.221.628;4,562;
BRAP4;BRADESPAR;PN      N1;139.111.884;3,034;
BBAS3;BRASIL;ON      NM;265.544.030;2,429;
AGRO3;BRASILAGRO;ON      NM;105.190.073;1,127;
CCRO3;CCR SA;ON      NM;579.476.887;2,254;
CMIG3;CEMIG;ON  EDB N1;541.380.066;2,350;
CMIG4;CEMIG;PN  EDB N1;744.527.240;2,770;
CESP6;CESP;PNB     N1;369.825.912;2,863;
CSMG3;COPASA;ON      NM;382.884.110;2,110;
CPLE3;COPEL;ON  ED  N1;145.559.402;0,250;
CPLE6;COPEL;PNB ED  N1;1.159.817.951;2,186;
CYRE3;CYRELA REALT;ON  ED  NM;571.252.560;4,129;
DIRR3;DIRECIONAL;ON      NM;165.309.055;0,660;
ENBR3;ENERGIAS BR;ON      NM;470.343.323;2,712;
EGIE3;ENGIE BRASIL;ON      NM;174.847.379;2,215;
FESA4;FERBASA;PN      N1;81.567.743;1,050;
GRND3;GRENDENE;ON  EDJ NM;545.280.061;1,444;
ROMI3;INDS ROMI;ON      NM;75.731.076;0,714;
ITSA4;ITAUSA;PN  EJ  N1;1.210.949.386;3,794;
ITUB3;ITAUUNIBANCO;ON  EDJ N1;496.338.315;3,785;
ITUB4;ITAUUNIBANCO;PN  EDJ N1;388.888.030;3,336;
JHSF3;JHSF PART;ON      NM;586.853.844;1,258;
LEVE3;METAL LEVE;ON  ED  NM;78.209.601;0,594;
MRVE3;MRV;ON  ED  NM;591.809.917;3,133;
BRDT3;PETROBRAS BR;ON      NM;903.149.549;6,362;
PSSA3;PORTO SEGURO;ON      NM;190.253.023;2,912;
QUAL3;QUALICORP;ON      NM;257.788.132;2,136;
SAPR4;SANEPAR;PN      N2;413.481.715;0,534;
SANB11;SANTANDER BR;UNT;183.742.990;2,219;
CSNA3;SID NACIONAL;ON  ED;257.096.472;3,780;
SLCE3;SLC AGRICOLA;ON  ED  NM;174.911.091;2,732;
SMLS3;SMILES;ON      NM;119.570.579;0,789;
TAEE11;TAESA;UNT     N2;444.089.867;5,771;
TGMA3;TEGMA;ON      NM;65.021.024;0,461;
VIVT3;TELEF BRASIL;ON  EJ;427.927.171;5,655;
TRPL4;TRAN PAULIST;PN      N1;804.185.592;6,602;
TRIS3;TRISUL;ON  ED  NM;159.789.790;0,487;
UNIP6;UNIPAR;PNB;90.075.556;2,069;
WIZS3;WIZ S.A.;ON      NM;157.912.100;0,529;
Quantidade Teórica Total;;;15.740.826.567;100,000
Redutor;;;48.362.746,62825950
