IDIV - Carteira do Dia 02/05/22
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABCB4;ABC BRASIL;PN      N2;73.645.365;0,318;
AESB3;AES BRASIL;ON      NM;285.740.679;0,862;
ALUP11;ALUPAR;UNT     N2;152.591.968;1,095;
B3SA3;B3;ON      NM;1.236.848.086;4,492;
BRSR6;BANRISUL;PNB     N1;220.673.102;0,635;
BBSE3;BBSEGURIDADE;ON      NM;731.774.722;5,082;
BBDC3;BRADESCO;ON      N1;1.029.840.585;4,193;
BBDC4;BRADESCO;PN      N1;791.674.286;3,887;
BRAP4;BRADESPAR;PN  ED  N1;273.915.541;2,073;
BBAS3;BRASIL;ON      NM;486.657.262;4,415;
AGRO3;BRASILAGRO;ON      NM;56.407.718;0,524;
CMIG3;CEMIG;ON  EDB N1;393.078.610;1,532;
CMIG4;CEMIG;PN  EDB N1;1.546.150.913;4,570;
CSMG3;COPASA;ON      NM;205.319.935;0,766;
CPLE3;COPEL;ON  ED  N2;348.410.330;0,576;
CPLE6;COPEL;PNB ED  N2;1.703.366.264;3,220;
CPFE3;CPFL ENERGIA;ON  ED  NM;204.544.152;1,838;
CYRE3;CYRELA REALT;ON  ED  NM;306.827.642;1,185;
DIRR3;DIRECIONAL;ON      NM;82.134.761;0,258;
ELET3;ELETROBRAS;ON  EDR N1;390.090.712;4,312;
ELET6;ELETROBRAS;PNB EDR N1;264.746.838;2,903;
ENAT3;ENAUTA PART;ON  ED  NM;83.497.664;0,471;
ENBR3;ENERGIAS BR;ON      NM;251.611.515;1,455;
EGIE3;ENGIE BRASIL;ON      NM;278.072.265;3,182;
FESA4;FERBASA;PN  ED  N1;43.762.791;0,545;
GRND3;GRENDENE;ON      NM;290.972.250;0,751;
ROMI3;INDS ROMI;ON      NM;40.610.459;0,148;
MYPK3;IOCHP-MAXION;ON      NM;149.879.853;0,546;
ITSA4;ITAUSA;PN      N1;1.917.844.915;4,823;
JHSF3;JHSF PART;ON      NM;333.310.112;0,597;
LEVE3;METAL LEVE;ON  ED  NM;41.939.556;0,283;
BEEF3;MINERVA;ON  ED  NM;283.729.628;1,018;
PETR3;PETROBRAS;ON      N2;490.096.502;4,475;
PSSA3;PORTO SEGURO;ON      NM;198.150.305;1,101;
QUAL3;QUALICORP;ON      NM;301.835.095;1,094;
RAPT4;RANDON PART;PN  ED  N1;193.535.616;0,564;
SANB11;SANTANDER BR;UNT EDJ;395.183.807;3,426;
CSNA3;SID NACIONAL;ON  ED;699.926.167;3,897;
SYNE3;SYN PROP TEC;ON      NM;65.002.740;0,101;
TAEE11;TAESA;UNT     N2;238.141.211;2,860;
TGMA3;TEGMA;ON      NM;34.867.240;0,135;
VIVT3;TELEF BRASIL;ON  EDJ;468.875.639;6,801;
TRPL4;TRAN PAULIST;PN      N1;431.241.017;2,963;
TRIS3;TRISUL;ON  ED  NM;90.678.553;0,098;
UNIP6;UNIPAR;PNB EDB;53.784.760;1,410;
VALE3;VALE;ON      NM;367.007.144;8,347;
WIZS3;WIZ S.A.;ON  ED  NM;84.484.568;0,173;
Quantidade Teórica Total;;;18.612.480.843;100,000
Redutor;;;52.668.189,21199320
