IDIV - Carteira do Dia 03/03/22
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABCB4;ABC BRASIL;PN      N2;130.777.854;0,581;
BRSR6;BANRISUL;PNB     N1;385.955.943;1,108;
BBSE3;BBSEGURIDADE;ON      NM;559.039.972;3,729;
BBDC3;BRADESCO;ON  EJ  N1;738.772.585;3,607;
BBDC4;BRADESCO;PN  EJ  N1;625.552.771;3,636;
BRAP4;BRADESPAR;PN      N1;479.100.480;4,441;
BBAS3;BRASIL;ON  EX  NM;355.849.250;3,582;
AGRO3;BRASILAGRO;ON      NM;98.656.763;0,964;
CCRO3;CCR SA;ON      NM;755.579.870;2,536;
CMIG3;CEMIG;ON      N1;528.840.117;2,681;
CMIG4;CEMIG;PN      N1;862.995.685;3,283;
CESP6;CESP;PNB     N1;346.856.185;2,265;
CSMG3;COPASA;ON      NM;359.103.344;1,449;
CPLE3;COPEL;ON      N2;609.367.595;1,091;
CPLE6;COPEL;PNB     N2;1.462.018.075;2,999;
CPFE3;CPFL ENERGIA;ON      NM;357.746.504;3,157;
CYRE3;CYRELA REALT;ON      NM;536.639.720;2,303;
DIRR3;DIRECIONAL;ON      NM;143.653.208;0,500;
ELET3;ELETROBRAS;ON      N1;288.334.163;2,874;
ELET6;ELETROBRAS;PNB     N1;315.689.866;3,131;
ENAT3;ENAUTA PART;ON      NM;146.036.917;0,771;
ENBR3;ENERGIAS BR;ON      NM;440.067.043;2,627;
EGIE3;ENGIE BRASIL;ON  ED  NM;226.605.041;2,623;
ROMI3;INDS ROMI;ON      NM;71.027.452;0,285;
MYPK3;IOCHP-MAXION;ON      NM;262.138.971;0,980;
ITSA4;ITAUSA;PN      N1;1.264.742.358;3,635;
ITUB3;ITAUUNIBANCO;ON  EJ  N1;508.671.871;3,150;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;416.333.875;3,010;
JHSF3;JHSF PART;ON      NM;582.957.402;0,914;
MRVE3;MRV;ON      NM;561.478.680;1,909;
PSSA3;PORTO SEGURO;ON      NM;346.563.705;2,095;
QUAL3;QUALICORP;ON      NM;527.907.785;2,083;
SAPR4;SANEPAR;PN      N2;387.151.575;0,451;
SANB11;SANTANDER BR;UNT;476.042.077;4,230;
CSNA3;SID NACIONAL;ON;383.165.012;3,003;
SYNE3;SYN PROP TEC;ON      NM;59.660.124;0,112;
TAEE11;TAESA;UNT     N2;416.507.562;4,798;
TGMA3;TEGMA;ON      NM;60.982.596;0,266;
VIVT3;TELEF BRASIL;ON  EJ;424.082.332;6,021;
TRPL4;TRAN PAULIST;PN      N1;615.235.869;4,379;
UNIP6;UNIPAR;PNB;85.477.842;2,433;
WIZS3;WIZ S.A.;ON      NM;147.763.007;0,308;
Quantidade Teórica Total;;;18.351.129.046;100,000
Redutor;;;51.585.127,20628275
