IDIV - Carteira do Dia 01/04/21
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABCB4;ABC BRASIL;PN  EJ  N2;148.849.339;0,609;
AESB3;AES BRASIL;ON      NM;609.306.126;3,030;
BRSR6;BANRISUL;PNB     N1;408.792.895;1,407;
BBSE3;BBSEGURIDADE;ON      NM;670.546.751;4,647;
BRAP4;BRADESPAR;PN  EDJ N1;133.376.467;2,477;
BBAS3;BRASIL;ON      NM;222.468.975;1,936;
CCRO3;CCR SA;ON      NM;914.698.861;3,377;
CMIG4;CEMIG;PN      N1;811.836.550;3,023;
CIEL3;CIELO;ON      NM;2.244.875.458;2,387;
CSMG3;COPASA;ON  EJ  NM;380.359.507;1,641;
CPLE3;COPEL;ON  EDJ N1;1.211.099.680;2,243;
CPLE6;COPEL;PNB EDJ N1;1.314.289.250;2,464;
CYRE3;CYRELA REALT;ON      NM;567.485.922;3,998;
DIRR3;DIRECIONAL;ON      NM;164.219.066;0,583;
ENBR3;ENERGIAS BR;ON      NM;445.609.063;2,520;
EGIE3;ENGIE BRASIL;ON      NM;202.749.347;2,424;
ROMI3;INDS ROMI;ON  EJ  NM;75.231.732;0,602;
MYPK3;IOCHP-MAXION;ON      NM;285.536.477;0,982;
ITSA4;ITAUSA;PN  EJ  N1;1.418.172.915;4,183;
ITUB3;ITAUUNIBANCO;ON  EDJ N1;594.677.210;4,265;
ITUB4;ITAUUNIBANCO;PN  EDJ N1;460.661.771;3,680;
KLBN11;KLABIN S/A;UNT     N2;467.630.982;3,693;
LEVE3;METAL LEVE;ON      NM;77.693.915;0,512;
MRVE3;MRV;ON      NM;603.095.509;3,137;
BRDT3;PETROBRAS BR;ON      NM;639.106.065;4,033;
PSSA3;PORTO SEGURO;ON  ED  NM;188.998.561;2,449;
QUAL3;QUALICORP;ON      NM;246.490.959;2,138;
SAPR4;SANEPAR;PN      N2;410.755.362;0,519;
SAPR11;SANEPAR;UNT     N2;405.683.916;2,551;
SANB11;SANTANDER BR;UNT;255.318.544;2,889;
CSNA3;SID NACIONAL;ON;532.321.948;5,766;
SLCE3;SLC AGRICOLA;ON      NM;173.757.789;2,217;
SMLS3;SMILES;ON  ED  NM;118.782.173;0,723;
TAEE11;TAESA;UNT     N2;441.161.695;4,907;
TGMA3;TEGMA;ON      NM;64.592.298;0,348;
VIVT3;TELEF BRASIL;ON  EJ;443.445.822;5,588;
TRPL4;TRAN PAULIST;PN  ED  N1;551.155.653;3,990;
UNIP6;UNIPAR;PNB;88.806.060;1,726;
WIZS3;WIZ S.A.;ON      NM;156.333.924;0,336;
Quantidade Teórica Total;;;19.149.974.537;100,000
Redutor;;;53.278.05539974772
