IDIV - Carteira do Dia 04/11/21
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABCB4;ABC BRASIL;PN      N2;109.742.538;0,451;
BRSR6;BANRISUL;PNB     N1;321.734.820;0,961;
BBSE3;BBSEGURIDADE;ON      NM;1.066.974.264;6,279;
BBDC3;BRADESCO;ON  EJ  N1;663.965.977;3,022;
BBDC4;BRADESCO;PN  EJ  N1;548.618.772;2,913;
BRAP4;BRADESPAR;PN      N1;193.211.758;2,325;
BBAS3;BRASIL;ON      NM;449.284.034;3,431;
AGRO3;BRASILAGRO;ON  ED  NM;82.246.054;0,557;
CCRO3;CCR SA;ON      NM;1.271.991.841;3,804;
CMIG3;CEMIG;ON      N1;440.872.085;1,977;
CMIG4;CEMIG;PN      N1;918.244.037;3,183;
CESP6;CESP;PNB     N1;289.159.624;2,006;
CSMG3;COPASA;ON      NM;299.369.573;1,121;
CPLE3;COPEL;ON      N1;508.004.506;0,739;
CPLE6;COPEL;PNB     N1;1.772.962.657;2,810;
CPFE3;CPFL ENERGIA;ON      NM;298.238.432;2,073;
CYRE3;CYRELA REALT;ON      NM;447.374.291;1,759;
DIRR3;DIRECIONAL;ON      NM;119.757.725;0,321;
ELET3;ELETROBRAS;ON      N1;334.865.464;3,070;
ELET6;ELETROBRAS;PNB     N1;360.259.119;3,283;
ENAT3;ENAUTA PART;ON      NM;121.744.925;0,411;
ENBR3;ENERGIAS BR;ON      NM;367.752.216;1,944;
EGIE3;ENGIE BRASIL;ON      NM;404.895.805;4,207;
FESA4;FERBASA;PN      N1;63.808.944;0,768;
GETT11;GETNET BR;UNT;102.485.654;0,116;
ROMI3;INDS ROMI;ON      NM;59.212.642;0,261;
ITSA4;ITAUSA;PN      N1;1.163.678.412;3,210;
ITUB3;ITAUUNIBANCO;ON  EJ  N1;445.468.169;2,552;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;377.598.432;2,403;
JHSF3;JHSF PART;ON      NM;485.987.423;0,688;
LEVE3;METAL LEVE;ON      NM;61.150.551;0,565;
MRVE3;MRV;ON      NM;468.081.503;1,349;
PETR4;PETROBRAS;PN      N2;488.745.336;3,415;
PSSA3;PORTO SEGURO;ON  EJ  NM;288.914.836;1,788;
QUAL3;QUALICORP;ON      NM;450.648.076;2,111;
SAPR4;SANEPAR;PN      N2;322.752.221;0,324;
SANB11;SANTANDER BR;UNT;409.942.616;3,873;
CSNA3;SID NACIONAL;ON;368.632.969;2,119;
SYNE3;SYN PROP TEC;ON      NM;94.778.145;0,340;
TAEE11;TAESA;UNT     N2;347.225.090;3,393;
TGMA3;TEGMA;ON      NM;50.838.663;0,201;
VIVT3;TELEF BRASIL;ON;495.256.524;6,398;
TRPL4;TRAN PAULIST;PN  EDJ N1;628.776.936;3,880;
UNIP6;UNIPAR;PNB;71.268.820;1,387;
VBBR3;VIBRA;ON      NM;989.908.792;5,890;
WIZS3;WIZ S.A.;ON      NM;123.183.894;0,322;
Quantidade Teórica Total;;;19.749.615.165;100,000
Redutor;;;59.922.350,27309503
