IDIV - Carteira do Dia 01/07/22
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABCB4;ABC BRASIL;PN  EJ  N2;73.645.365;0,298;
AESB3;AES BRASIL;ON      NM;285.740.679;0,810;
ALUP11;ALUPAR;UNT     N2;152.591.968;1,053;
B3SA3;B3;ON  EDJ NM;1.236.848.086;3,606;
BRSR6;BANRISUL;PNB     N1;220.673.102;0,526;
BBSE3;BBSEGURIDADE;ON      NM;731.774.722;5,053;
BBDC3;BRADESCO;ON      N1;1.029.840.585;3,939;
BBDC4;BRADESCO;PN      N1;791.674.286;3,622;
BRAP4;BRADESPAR;PN      N1;273.915.541;1,839;
BBAS3;BRASIL;ON      NM;486.657.262;4,321;
AGRO3;BRASILAGRO;ON      NM;56.407.718;0,366;
CMIG3;CEMIG;ON  EJ  N1;393.078.610;1,585;
CMIG4;CEMIG;PN  EJ  N1;1.546.150.913;4,269;
CSMG3;COPASA;ON  EJ  NM;205.319.935;0,629;
CPLE3;COPEL;ON      N2;348.410.330;0,590;
CPLE6;COPEL;PNB     N2;1.703.366.264;3,095;
CPFE3;CPFL ENERGIA;ON      NM;204.544.152;1,680;
CYRE3;CYRELA REALT;ON      NM;306.827.642;0,965;
DIRR3;DIRECIONAL;ON      NM;82.134.761;0,225;
ELET3;ELETROBRAS;ON      N1;1.073.974.931;13,198;
ELET6;ELETROBRAS;PNB     N1;264.746.838;3,289;
ENAT3;ENAUTA PART;ON      NM;83.497.664;0,390;
ENBR3;ENERGIAS BR;ON      NM;251.611.515;1,373;
EGIE3;ENGIE BRASIL;ON      NM;278.072.265;3,055;
FESA4;FERBASA;PN      N1;43.762.791;0,542;
GRND3;GRENDENE;ON      NM;290.972.250;0,544;
MYPK3;IOCHP-MAXION;ON      NM;149.879.853;0,626;
ITSA4;ITAUSA;PN      N1;1.917.844.915;4,254;
JHSF3;JHSF PART;ON      NM;333.310.112;0,517;
LEVE3;METAL LEVE;ON      NM;41.939.556;0,259;
BEEF3;MINERVA;ON      NM;283.729.628;1,001;
PETR3;PETROBRAS;ON      N2;490.096.502;3,981;
PSSA3;PORTO SEGURO;ON      NM;198.150.305;0,936;
QUAL3;QUALICORP;ON      NM;301.835.095;0,895;
RAPT4;RANDON PART;PN      N1;193.535.616;0,483;
ROMI3;ROMI;ON      NM;40.610.459;0,130;
SANB11;SANTANDER BR;UNT;395.183.807;3,028;
CSNA3;SID NACIONAL;ON;699.926.167;2,874;
SYNE3;SYN PROP TEC;ON      NM;65.002.740;0,071;
TAEE11;TAESA;UNT     N2;238.141.211;2,446;
TGMA3;TEGMA;ON      NM;34.867.240;0,127;
VIVT3;TELEF BRASIL;ON  EJ;468.875.639;5,839;
TRPL4;TRAN PAULIST;PN      N1;431.241.017;2,635;
TRIS3;TRISUL;ON      NM;90.678.553;0,082;
UNIP6;UNIPAR;PNB;53.784.760;1,303;
VALE3;VALE;ON      NM;367.007.144;7,474;
WIZS3;WIZ S.A.;ON      NM;84.484.568;0,177;
Quantidade Teórica Total;;;19.296.365.062;100,000
Redutor;;;56.606.844,08949587
