IDIV - Carteira do Dia 06/09/21
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABCB4;ABC BRASIL;PN      N2;109.742.538;0,469;
BRSR6;BANRISUL;PNB EJ  N1;321.734.820;0,941;
BBSE3;BBSEGURIDADE;ON      NM;1.066.974.264;5,054;
BBDC3;BRADESCO;ON  EJ  N1;663.965.977;3,147;
BBDC4;BRADESCO;PN  EJ  N1;548.618.772;3,004;
BRAP4;BRADESPAR;PN      N1;171.062.961;2,643;
BBAS3;BRASIL;ON      NM;449.284.034;3,233;
AGRO3;BRASILAGRO;ON      NM;82.246.054;0,571;
CCRO3;CCR SA;ON      NM;1.271.991.841;3,745;
CMIG3;CEMIG;ON      N1;440.872.085;1,748;
CMIG4;CEMIG;PN      N1;918.244.037;3,087;
CESP6;CESP;PNB     N1;289.159.624;1,725;
CSMG3;COPASA;ON      NM;299.369.573;1,031;
CPLE3;COPEL;ON      N1;508.004.506;0,759;
CPLE6;COPEL;PNB     N1;1.772.962.657;2,973;
CPFE3;CPFL ENERGIA;ON  ED  NM;298.238.432;2,013;
CCPR3;CYRE COM-CCP;ON      NM;94.778.145;0,265;
CYRE3;CYRELA REALT;ON      NM;447.374.291;2,087;
DIRR3;DIRECIONAL;ON      NM;119.757.725;0,355;
ELET3;ELETROBRAS;ON      N1;334.865.464;3,077;
ELET6;ELETROBRAS;PNB     N1;360.259.119;3,365;
ENAT3;ENAUTA PART;ON      NM;121.744.925;0,405;
ENBR3;ENERGIAS BR;ON      NM;367.752.216;1,666;
EGIE3;ENGIE BRASIL;ON      NM;404.895.805;3,930;
FESA4;FERBASA;PN      N1;63.808.944;0,830;
ROMI3;INDS ROMI;ON      NM;59.212.642;0,303;
ITSA4;ITAUSA;PN  ED  N1;1.163.678.412;3,233;
ITUB3;ITAUUNIBANCO;ON  ED  N1;445.468.169;3,024;
ITUB4;ITAUUNIBANCO;PN  ED  N1;377.598.432;2,776;
JHSF3;JHSF PART;ON      NM;485.987.423;0,748;
LEVE3;METAL LEVE;ON      NM;61.150.551;0,593;
MRVE3;MRV;ON      NM;468.081.503;1,528;
PETR4;PETROBRAS;PN      N2;488.745.336;3,179;
BRDT3;PETROBRAS BR;ON      NM;989.908.792;6,266;
PSSA3;PORTO SEGURO;ON      NM;144.457.418;1,944;
QUAL3;QUALICORP;ON      NM;450.648.076;2,502;
SAPR4;SANEPAR;PN      N2;322.752.221;0,305;
SANB11;SANTANDER BR;UNT;409.942.616;3,943;
CSNA3;SID NACIONAL;ON;368.632.969;3,169;
TAEE11;TAESA;UNT     N2;347.225.090;3,220;
TGMA3;TEGMA;ON      NM;50.838.663;0,211;
VIVT3;TELEF BRASIL;ON;495.256.524;5,148;
TRPL4;TRAN PAULIST;PN      N1;628.776.936;3,805;
UNIP6;UNIPAR;PNB;71.268.820;1,597;
WIZS3;WIZ S.A.;ON      NM;123.183.894;0,383;
Quantidade Teórica Total;;;19.480.523.296;100,000
Redutor;;;61.053.268,92461100
