IDIV - Carteira do Dia 08/06/22
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABCB4;ABC BRASIL;PN      N2;73.645.365;0,320;
AESB3;AES BRASIL;ON      NM;285.740.679;0,838;
ALUP11;ALUPAR;UNT     N2;152.591.968;1,109;
B3SA3;B3;ON      NM;1.236.848.086;3,966;
BRSR6;BANRISUL;PNB     N1;220.673.102;0,586;
BBSE3;BBSEGURIDADE;ON      NM;731.774.722;5,016;
BBDC3;BRADESCO;ON  EJ  N1;1.029.840.585;4,521;
BBDC4;BRADESCO;PN  EJ  N1;791.674.286;4,219;
BRAP4;BRADESPAR;PN      N1;273.915.541;2,254;
BBAS3;BRASIL;ON      NM;486.657.262;4,660;
AGRO3;BRASILAGRO;ON      NM;56.407.718;0,462;
CMIG3;CEMIG;ON      N1;393.078.610;1,564;
CMIG4;CEMIG;PN      N1;1.546.150.913;4,674;
CSMG3;COPASA;ON      NM;205.319.935;0,701;
CPLE3;COPEL;ON      N2;348.410.330;0,612;
CPLE6;COPEL;PNB     N2;1.703.366.264;3,261;
CPFE3;CPFL ENERGIA;ON      NM;204.544.152;1,915;
CYRE3;CYRELA REALT;ON      NM;306.827.642;1,069;
DIRR3;DIRECIONAL;ON      NM;82.134.761;0,223;
ELET3;ELETROBRAS;ON      N1;390.090.712;4,397;
ELET6;ELETROBRAS;PNB     N1;264.746.838;2,952;
ENAT3;ENAUTA PART;ON      NM;83.497.664;0,462;
ENBR3;ENERGIAS BR;ON      NM;251.611.515;1,430;
EGIE3;ENGIE BRASIL;ON      NM;278.072.265;3,112;
FESA4;FERBASA;PN      N1;43.762.791;0,696;
GRND3;GRENDENE;ON      NM;290.972.250;0,650;
MYPK3;IOCHP-MAXION;ON      NM;149.879.853;0,639;
ITSA4;ITAUSA;PN  EJ  N1;1.917.844.915;4,825;
JHSF3;JHSF PART;ON      NM;333.310.112;0,591;
LEVE3;METAL LEVE;ON      NM;41.939.556;0,285;
BEEF3;MINERVA;ON      NM;283.729.628;1,070;
PETR3;PETROBRAS;ON      N2;490.096.502;4,475;
PSSA3;PORTO SEGURO;ON      NM;198.150.305;1,032;
QUAL3;QUALICORP;ON      NM;301.835.095;0,891;
RAPT4;RANDON PART;PN      N1;193.535.616;0,510;
ROMI3;ROMI;ON      NM;40.610.459;0,154;
SANB11;SANTANDER BR;UNT;395.183.807;3,391;
CSNA3;SID NACIONAL;ON;699.926.167;4,177;
SYNE3;SYN PROP TEC;ON      NM;65.002.740;0,087;
TAEE11;TAESA;UNT     N2;238.141.211;2,594;
TGMA3;TEGMA;ON      NM;34.867.240;0,146;
VIVT3;TELEF BRASIL;ON;468.875.639;6,071;
TRPL4;TRAN PAULIST;PN      N1;431.241.017;2,727;
TRIS3;TRISUL;ON      NM;90.678.553;0,087;
UNIP6;UNIPAR;PNB;53.784.760;1,414;
VALE3;VALE;ON      NM;367.007.144;8,969;
WIZS3;WIZ S.A.;ON      NM;84.484.568;0,196;
Quantidade Teórica Total;;;18.612.480.843;100,000
Redutor;;;52.234.605,46519686
