IDIV - Carteira do Dia 04/04/22
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABCB4;ABC BRASIL;PN  EJ  N2;130.777.854;0,578;
AURE3;AUREN;ON      NM;535.585.596;2,255;
BRSR6;BANRISUL;PNB     N1;385.955.943;1,113;
BBSE3;BBSEGURIDADE;ON      NM;559.039.972;3,791;
BBDC3;BRADESCO;ON  EJ  N1;738.772.585;3,506;
BBDC4;BRADESCO;PN  EJ  N1;625.552.771;3,596;
BRAP4;BRADESPAR;PN      N1;479.100.480;4,267;
BBAS3;BRASIL;ON      NM;355.849.250;3,230;
AGRO3;BRASILAGRO;ON      NM;98.656.763;0,825;
CCRO3;CCR SA;ON      NM;755.579.870;2,816;
CMIG3;CEMIG;ON  EJ  N1;528.840.117;2,866;
CMIG4;CEMIG;PN  EJ  N1;862.995.685;3,449;
CSMG3;COPASA;ON      NM;359.103.344;1,355;
CPLE3;COPEL;ON      N2;609.367.595;1,097;
CPLE6;COPEL;PNB     N2;1.462.018.075;2,916;
CPFE3;CPFL ENERGIA;ON      NM;357.746.504;3,121;
CYRE3;CYRELA REALT;ON      NM;536.639.720;2,520;
DIRR3;DIRECIONAL;ON      NM;143.653.208;0,474;
ELET3;ELETROBRAS;ON      N1;288.334.163;2,965;
ELET6;ELETROBRAS;PNB     N1;315.689.866;3,212;
ENAT3;ENAUTA PART;ON      NM;146.036.917;0,803;
ENBR3;ENERGIAS BR;ON      NM;440.067.043;2,774;
EGIE3;ENGIE BRASIL;ON      NM;226.605.041;2,630;
ROMI3;INDS ROMI;ON      NM;71.027.452;0,269;
MYPK3;IOCHP-MAXION;ON      NM;262.138.971;0,873;
ITSA4;ITAUSA;PN  EJ  N1;1.264.742.358;3,571;
ITUB3;ITAUUNIBANCO;ON  EJ  N1;508.671.871;3,147;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;416.333.875;3,001;
JHSF3;JHSF PART;ON      NM;582.957.402;1,037;
MRVE3;MRV;ON      NM;561.478.680;1,928;
PSSA3;PORTO SEGURO;ON  ED  NM;346.563.705;1,897;
QUAL3;QUALICORP;ON      NM;527.907.785;2,345;
SAPR4;SANEPAR;PN      N2;387.151.575;0,420;
SANB11;SANTANDER BR;UNT;476.042.077;4,596;
CSNA3;SID NACIONAL;ON;383.165.012;2,622;
SYNE3;SYN PROP TEC;ON      NM;59.660.124;0,107;
TAEE11;TAESA;UNT     N2;416.507.562;4,823;
TGMA3;TEGMA;ON      NM;60.982.596;0,274;
VIVT3;TELEF BRASIL;ON  EJ;424.082.332;6,053;
TRPL4;TRAN PAULIST;PN      N1;615.235.869;4,257;
UNIP6;UNIPAR;PNB;85.477.842;2,287;
WIZS3;WIZ S.A.;ON      NM;147.763.007;0,334;
Quantidade Teórica Total;;;18.539.858.457;100,000
Redutor;;;51.428.376,71076957
