IDIV - Carteira do Dia 01/07/21
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABCB4;ABC BRASIL;PN  EJ  N2;143.406.221;0,684;
BRSR6;BANRISUL;PNB     N1;411.506.222;1,657;
BBSE3;BBSEGURIDADE;ON      NM;666.221.628;4,674;
BRAP4;BRADESPAR;PN      N1;139.111.884;3,140;
BBAS3;BRASIL;ON      NM;265.544.030;2,591;
AGRO3;BRASILAGRO;ON      NM;105.190.073;0,958;
CCRO3;CCR SA;ON      NM;579.476.887;2,367;
CMIG3;CEMIG;ON      N1;541.380.066;2,398;
CMIG4;CEMIG;PN      N1;744.527.240;2,743;
CESP6;CESP;PNB     N1;369.825.912;2,689;
CSMG3;COPASA;ON  EJ  NM;382.884.110;1,801;
CPLE3;COPEL;ON      N1;145.559.402;0,245;
CPLE6;COPEL;PNB     N1;1.159.817.951;2,089;
CYRE3;CYRELA REALT;ON      NM;571.252.560;4,049;
DIRR3;DIRECIONAL;ON      NM;165.309.055;0,703;
ENBR3;ENERGIAS BR;ON      NM;470.343.323;2,526;
EGIE3;ENGIE BRASIL;ON      NM;174.847.379;2,079;
FESA4;FERBASA;PN      N1;81.567.743;1,098;
GRND3;GRENDENE;ON      NM;545.280.061;1,661;
ROMI3;INDS ROMI;ON      NM;75.731.076;0,558;
ITSA4;ITAUSA;PN      N1;1.210.949.386;4,101;
ITUB3;ITAUUNIBANCO;ON  ED  N1;496.338.315;4,029;
ITUB4;ITAUUNIBANCO;PN  ED  N1;388.888.030;3,518;
JHSF3;JHSF PART;ON      NM;586.853.844;1,296;
LEVE3;METAL LEVE;ON      NM;78.209.601;0,791;
MRVE3;MRV;ON      NM;591.809.917;2,935;
BRDT3;PETROBRAS BR;ON      NM;903.149.549;7,318;
PSSA3;PORTO SEGURO;ON      NM;190.253.023;3,090;
QUAL3;QUALICORP;ON      NM;257.788.132;2,263;
SAPR4;SANEPAR;PN  EJ  N2;413.481.715;0,515;
SANB11;SANTANDER BR;UNT;183.742.990;2,260;
CSNA3;SID NACIONAL;ON;257.096.472;3,435;
SLCE3;SLC AGRICOLA;ON      NM;174.911.091;2,726;
TAEE11;TAESA;UNT     N2;444.089.867;4,977;
TGMA3;TEGMA;ON      NM;65.021.024;0,481;
VIVT3;TELEF BRASIL;ON  EJ;427.927.171;5,417;
TRPL4;TRAN PAULIST;PN      N1;804.185.592;6,128;
TRIS3;TRISUL;ON      NM;159.789.790;0,473;
UNIP6;UNIPAR;PNB;90.075.556;2,689;
WIZS3;WIZ S.A.;ON      NM;157.912.100;0,848;
Quantidade Teórica Total;;;15.621.255.988;100,000
Redutor;;;47.545.036,64865460
