IDIV - Carteira do Dia 03/05/21
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABCB4;ABC BRASIL;PN      N2;143.406.221;0,655;
BRSR6;BANRISUL;PNB ED  N1;411.506.222;1,548;
BBSE3;BBSEGURIDADE;ON      NM;666.221.628;4,591;
BRAP4;BRADESPAR;PN      N1;139.111.884;3,048;
BBAS3;BRASIL;ON      NM;265.544.030;2,429;
AGRO3;BRASILAGRO;ON      NM;105.190.073;1,118;
CCRO3;CCR SA;ON      NM;579.476.887;2,153;
CMIG3;CEMIG;ON  EDB N1;541.380.066;2,439;
CMIG4;CEMIG;PN  EDB N1;744.527.240;2,726;
CESP6;CESP;PNB     N1;369.825.912;2,887;
CSMG3;COPASA;ON      NM;382.884.110;1,986;
CPLE3;COPEL;ON  ED  N1;145.559.402;0,247;
CPLE6;COPEL;PNB ED  N1;1.159.817.951;2,240;
CYRE3;CYRELA REALT;ON  ED  NM;571.252.560;4,148;
DIRR3;DIRECIONAL;ON      NM;165.309.055;0,653;
ENBR3;ENERGIAS BR;ON      NM;470.343.323;2,727;
EGIE3;ENGIE BRASIL;ON      NM;174.847.379;2,195;
FESA4;FERBASA;PN      N1;81.567.743;1,133;
GRND3;GRENDENE;ON  EDJ NM;545.280.061;1,375;
ROMI3;INDS ROMI;ON      NM;75.731.076;0,763;
ITSA4;ITAUSA;PN  EJ  N1;1.210.949.386;3,759;
ITUB3;ITAUUNIBANCO;ON  EDJ N1;496.338.315;3,744;
ITUB4;ITAUUNIBANCO;PN  EDJ N1;388.888.030;3,302;
JHSF3;JHSF PART;ON      NM;586.853.844;1,237;
LEVE3;METAL LEVE;ON  ED  NM;78.209.601;0,638;
MRVE3;MRV;ON  ED  NM;591.809.917;3,168;
BRDT3;PETROBRAS BR;ON      NM;903.149.549;6,273;
PSSA3;PORTO SEGURO;ON      NM;190.253.023;2,898;
QUAL3;QUALICORP;ON      NM;257.788.132;2,152;
SAPR4;SANEPAR;PN      N2;413.481.715;0,544;
SANB11;SANTANDER BR;UNT;183.742.990;2,185;
CSNA3;SID NACIONAL;ON  ED;257.096.472;3,851;
SLCE3;SLC AGRICOLA;ON  ED  NM;174.911.091;2,633;
SMLS3;SMILES;ON      NM;119.570.579;0,791;
TAEE11;TAESA;UNT     N2;444.089.867;5,728;
TGMA3;TEGMA;ON      NM;65.021.024;0,454;
VIVT3;TELEF BRASIL;ON  EJ;427.927.171;5,686;
TRPL4;TRAN PAULIST;PN      N1;804.185.592;6,700;
TRIS3;TRISUL;ON  ED  NM;159.789.790;0,478;
UNIP6;UNIPAR;PNB ED;90.075.556;2,158;
WIZS3;WIZ S.A.;ON      NM;157.912.100;0,560;
Quantidade Teórica Total;;;15.740.826.567;100,000
Redutor;;;48.362.746,62825950
